唯一編碼,來源系統,來源系統縮寫,文件原系統頁面URL,題名,檔案類型,書卷名,類目階層,原始時間記錄,西元年,起始時間,結束時間,相關人員,相關組織,關鍵詞,摘要/全文,,機場標籤,會議主席,提案議員,相關議員,機關,相關機關
AHTWH-238-009-02615-006,國史館臺灣文獻館典藏管理系統,AHTWH,,為准台南市政府函以五五增建台南機場工程撥用公地清冊錯誤一筆請予更正一案敬請鑒核由,件,,臺灣省政府地政處,1956-01-23~1956-01-24,1956,1956-01-23,1956-01-24,,,,為准台南市政府函以五五增建台南機場工程撥用公地清冊錯誤一筆請予更正一案敬請鑒核由,,台南機場,,,,,
AHTWH-238-009-02615-007,國史館臺灣文獻館典藏管理系統,AHTWH,,為前送五五軍協搶修台南機場增建工程撥用公地清冊等內有錯誤檢送更正清冊三種請查照轉請更正見復,件,,臺灣省政府地政處,1956-01-06~1956-01-14,1956,1956-01-06,1956-01-14,,,,為前送五五軍協搶修台南機場增建工程撥用公地清冊等內有錯誤檢送更正清冊三種請查照轉請更正見復,,台南機場,,,,,
AHTWH-238-009-02615-008,國史館臺灣文獻館典藏管理系統,AHTWH,,檢送重新搭建五五軍協擴修台南機場撥用放領公地及徵收實施耕者有其田放領耕地清冊通知聯單等請察照辦理,件,,臺灣省政府地政處,1956-01-12~1956-02-25,1956,1956-01-12,1956-02-25,,,,檢送重新搭建五五軍協擴修台南機場撥用放領公地及徵收實施耕者有其田放領耕地清冊通知聯單等請察照辦理,,台南機場,,,,,
AHTWH-238-009-02615-009,國史館臺灣文獻館典藏管理系統,AHTWH,,為空軍總部轉報台南市政府函以五五軍協台南機場增建工程撥用公地清冊錯誤一筆請查照辦理由,件,,臺灣省政府地政處,1956-02-23~1956-02-27,1956,1956-02-23,1956-02-27,,,,為空軍總部轉報台南市政府函以五五軍協台南機場增建工程撥用公地清冊錯誤一筆請查照辦理由,,台南機場,,,,,
AHTWH-238-009-02615-010,國史館臺灣文獻館典藏管理系統,AHTWH,,准函為空軍總部轉報台南市政府函以五五軍協台南機場增建工程撥用公地清冊錯誤乙筆請查照辦理由,件,,臺灣省政府地政處,1956-03-17~1956-03-21,1956,1956-03-17,1956-03-21,,,,准函為空軍總部轉報台南市政府函以五五軍協台南機場增建工程撥用公地清冊錯誤乙筆請查照辦理由,,台南機場,,,,,
AHTWH-238-009-02615-011,國史館臺灣文獻館典藏管理系統,AHTWH,,准函囑■■協辦四四○七部隊高砲陣地使用台北市蓬萊段土地乙案，■■查照知照由,件,,臺灣省政府地政處,1956-01-23~1956-01-31,1956,1956-01-23,1956-01-31,,,,准函囑■■協辦四四○七部隊高砲陣地使用台北市蓬萊段土地乙案，■■查照知照由,,#VALUE!,,,,,
AHTWH-238-009-02615-012,國史館臺灣文獻館典藏管理系統,AHTWH,,為空軍高砲陣地及營房設施使用嘉義區放領土地請轉報徵收見復由,件,,臺灣省政府地政處,1956-01-20~1956-01-25,1956,1956-01-20,1956-01-25,,,,為空軍高砲陣地及營房設施使用嘉義區放領土地請轉報徵收見復由,,#VALUE!,,,,,
AHTWH-238-009-02617,國史館臺灣文獻館典藏管理系統,AHTWH,,空軍總部一六○四部隊擴建新竹機場用地補償案等案,卷,,臺灣省政府地政處,1954-10-21~1955-12-19,1954,1954-10-21,1955-12-19,,,,空軍總部一六○四部隊擴建新竹機場用地補償案等案,,新竹機場,,,,,
AHTWH-238-009-02617-001,國史館臺灣文獻館典藏管理系統,AHTWH,,准函為擴建新竹機場用地一案檢送補償清冊函轉儘速撥款■■■■由,件,,臺灣省政府地政處,1954-10-21~1954-10-26,1954,1954-10-21,1954-10-26,,,,准函為擴建新竹機場用地一案檢送補償清冊函轉儘速撥款■■■■由,,新竹機場,,,,,
AHTWH-238-009-02617-002,國史館臺灣文獻館典藏管理系統,AHTWH,,為空軍總部擴充台中機場徵收土地乙案檢附徵收土地使用計劃書件令希知照由,件,,臺灣省政府地政處,1954-11-17~1954-11-30,1954,1954-11-17,1954-11-30,,,,為空軍總部擴充台中機場徵收土地乙案檢附徵收土地使用計劃書件令希知照由,,台中機場,,,,,
AHTWH-238-009-02617-003,國史館臺灣文獻館典藏管理系統,AHTWH,,為檢送台中機場徵收民地計劃書圖請詧照辦理見復由,件,,臺灣省政府地政處,1954-11-01~1954-11-15,1954,1954-11-01,1954-11-15,,,,為檢送台中機場徵收民地計劃書圖請詧照辦理見復由,,台中機場,,,,,
AHTWH-238-009-02617-004,國史館臺灣文獻館典藏管理系統,AHTWH,,為空軍總部擴修台中機場徵收民地一案地價補償何以不照協議價公告仰即查明其報憑核由,件,,臺灣省政府地政處,~,~,9999-00-00,9999-00-00,,,,為空軍總部擴修台中機場徵收民地一案地價補償何以不照協議價公告仰即查明其報憑核由,,台中機場,,,,,
AHTWH-238-009-02617-005,國史館臺灣文獻館典藏管理系統,AHTWH,,為空軍總部擴建台中機場徵收民地地價補償何以不照協議價額公告一案復請查照由,件,,臺灣省政府地政處,1955-05-21~1955-05-31,1955,1955-05-21,1955-05-31,,,,為空軍總部擴建台中機場徵收民地地價補償何以不照協議價額公告一案復請查照由,,台中機場,,,,,
AHTWH-238-009-02617-006,國史館臺灣文獻館典藏管理系統,AHTWH,,為空軍總部擴建台中機場徵收民地地價補償何以不照協議價額公告原因呈請鑒察由,件,,臺灣省政府地政處,1955-05-03~1955-05-09,1955,1955-05-03,1955-05-09,,,,為空軍總部擴建台中機場徵收民地地價補償何以不照協議價額公告原因呈請鑒察由,,台中機場,,,,,
AHTWH-238-009-02617-007,國史館臺灣文獻館典藏管理系統,AHTWH,,為空軍總部擴修台中機場徵收民地地價補償何以不照協議價額公告一案令仰迅即查明具報憑核由,件,,臺灣省政府地政處,1955-05-18~1955-05-31,1955,1955-05-18,1955-05-31,,,,為空軍總部擴修台中機場徵收民地地價補償何以不照協議價額公告一案令仰迅即查明具報憑核由,,台中機場,,,,,
AHTWH-238-009-02617-008,國史館臺灣文獻館典藏管理系統,AHTWH,,為空軍總部擴修台中機場用第地價等補償一案函請查照辦理由,件,,臺灣省政府地政處,1955-04-12~1955-04-15,1955,1955-04-12,1955-04-15,,,,為空軍總部擴修台中機場用第地價等補償一案函請查照辦理由,,台中機場,,,,,
AHTWH-238-009-02617-009,國史館臺灣文獻館典藏管理系統,AHTWH,,為空軍總部擴修台中機場徵收民地地價補償何以不照協議價額乙案呈復鑒備由,件,,臺灣省政府地政處,1955-05-27~1955-06-02,1955,1955-05-27,1955-06-02,,,,為空軍總部擴修台中機場徵收民地地價補償何以不照協議價額乙案呈復鑒備由,,台中機場,,,,,
AHTWH-238-009-02617-010,國史館臺灣文獻館典藏管理系統,AHTWH,,為空軍總部擴修台中機場用地補償一案令仰遵照由,件,,臺灣省政府地政處,1955-07-04~1955-07-31,1955,1955-07-04,1955-07-31,,,,為空軍總部擴修台中機場用地補償一案令仰遵照由,,台中機場,,,,,
AHTWH-238-009-02617-011,國史館臺灣文獻館典藏管理系統,AHTWH,,為呈送空軍總部擴建台中機場徵用民地經測量後土地清冊乙份報請鑒核備查由,件,,臺灣省政府地政處,1955-02-15~1955-02-18,1955,1955-02-15,1955-02-18,,,,為呈送空軍總部擴建台中機場徵用民地經測量後土地清冊乙份報請鑒核備查由,,台中機場,,,,,
AHTWH-238-009-02617-012,國史館臺灣文獻館典藏管理系統,AHTWH,,為空軍總部擴修台中機場徵收民地撤銷鐵路改線用地後補償問題乙案轉仰知照由,件,,臺灣省政府地政處,1956-01-10~1956-01-31,1956,1956-01-10,1956-01-31,,,,為空軍總部擴修台中機場徵收民地撤銷鐵路改線用地後補償問題乙案轉仰知照由,,台中機場,,,,,
AHTWH-238-009-02617-013,國史館臺灣文獻館典藏管理系統,AHTWH,,關於空軍總部擴修台中機場徵收民地撤銷鐵路改線用地後補償問題案令希知照由,件,,臺灣省政府地政處,1955-12-10~1955-12-15,1955,1955-12-10,1955-12-15,,,,關於空軍總部擴修台中機場徵收民地撤銷鐵路改線用地後補償問題案令希知照由,,台中機場,,,,,
AHTWH-238-009-02617-014,國史館臺灣文獻館典藏管理系統,AHTWH,,為空軍總部擴建台中機場申請增減已徵民地一案奉院令准予依照增減土地面積計劃使用並准許先行使用令仰遵照由,件,,臺灣省政府地政處,1955-04-10~1955-04-30,1955,1955-04-10,1955-04-30,,,,為空軍總部擴建台中機場申請增減已徵民地一案奉院令准予依照增減土地面積計劃使用並准許先行使用令仰遵照由,,台中機場,,,,,
AHTWH-238-009-02617-015,國史館臺灣文獻館典藏管理系統,AHTWH,,為空軍總部擴建台中機場申請增減已徵民地案,件,,臺灣省政府地政處,1955-03-31~1955-04-04,1955,1955-03-31,1955-04-04,,,,為空軍總部擴建台中機場申請增減已徵民地案,,台中機場,,,,,
AHTWH-238-009-02617-016,國史館臺灣文獻館典藏管理系統,AHTWH,,為空軍總司令部擴建台中機場徵收民地乙案報請鑒核備查由,件,,臺灣省政府地政處,1955-03-17~1955-03-22,1955,1955-03-17,1955-03-22,,,,為空軍總司令部擴建台中機場徵收民地乙案報請鑒核備查由,,台中機場,,,,,
AHTWH-238-009-02631,國史館臺灣文獻館典藏管理系統,AHTWH,,高雄縣政府興建岡山鎮屠宰場申請徵收土地案等案,卷,,臺灣省政府地政處,1960-05-06~1960-08-19,1960,1960-05-06,1960-08-19,,,,高雄縣政府興建岡山鎮屠宰場申請徵收土地案等案,,#VALUE!,,,,,
AHTWH-238-009-02631-011,國史館臺灣文獻館典藏管理系統,AHTWH,,為屏東市吳月鑾承領公地被機場征收乙案函復查照辦理由。,件,,臺灣省政府地政處,1960-05-07~1960-05-31,1960,1960-05-07,1960-05-31,,,,為屏東市吳月鑾承領公地被機場征收乙案函復查照辦理由。,,地被機場,,,,,
AHTWH-238-009-02631-012,國史館臺灣文獻館典藏管理系統,AHTWH,,為屏東市吳月鑾承領公地部份被機場征用乙案函請查照賜復由,件,,臺灣省政府地政處,1960-03-18~1960-03-28,1960,1960-03-18,1960-03-28,,,,為屏東市吳月鑾承領公地部份被機場征用乙案函請查照賜復由,,份被機場,,,,,
AHTWH-238-009-02648,國史館臺灣文獻館典藏管理系統,AHTWH,,屏東縣政府為擴修屏東機場減少已徵收民地乙案等案,卷,,臺灣省政府地政處,1955-04-28~1955-08-23,1955,1955-04-28,1955-08-23,,,,屏東縣政府為擴修屏東機場減少已徵收民地乙案等案,,屏東機場,,,,,
AHTWH-238-009-02648-001,國史館臺灣文獻館典藏管理系統,AHTWH,,本案空軍總部擴修屏東機場減少已征收民地乙案頃奉行政院四月十二日台四十四內2343號令准予備查,件,,臺灣省政府地政處,1955-04-28~1955-04-30,1955,1955-04-28,1955-04-30,,,,本案空軍總部擴修屏東機場減少已征收民地乙案頃奉行政院四月十二日台四十四內2343號令准予備查,,屏東機場,,,,,
AHTWH-238-009-02648-002,國史館臺灣文獻館典藏管理系統,AHTWH,,內政部四十四年四月六日(44)內溥字第四一號呈為准國防部函為空軍總部擴修屏東機場擬減少已征收民地請鑒核一案,件,,臺灣省政府地政處,1955-04-12~1955-04-18,1955,1955-04-12,1955-04-18,,,,內政部四十四年四月六日(44)內溥字第四一號呈為准國防部函為空軍總部擴修屏東機場擬減少已征收民地請鑒核一案,,屏東機場,,,,,
AHTWH-238-009-02648-003,國史館臺灣文獻館典藏管理系統,AHTWH,,為據請示所有權人在征收公告期內提出異議發生疑義乙案復希知照由,件,,臺灣省政府地政處,1955-08-23~1955-08-31,1955,1955-08-23,1955-08-31,,,,為據請示所有權人在征收公告期內提出異議發生疑義乙案復希知照由,,#VALUE!,,,,,
AHTWH-238-009-02648-004,國史館臺灣文獻館典藏管理系統,AHTWH,,據呈為徵收民地在公告期間內所有權人提出異議發生疑義請核示案令復知照由,件,,臺灣省政府地政處,1955-07-01~1955-07-05,1955,1955-07-01,1955-07-05,,,,據呈為徵收民地在公告期間內所有權人提出異議發生疑義請核示案令復知照由,,#VALUE!,,,,,
AHTWH-238-009-02648-005,國史館臺灣文獻館典藏管理系統,AHTWH,,為空軍總部建築庫房已征民地因變更計劃不再需要發還業佃自耕案令希知照由,件,,臺灣省政府地政處,1955-04-29~1955-05-02,1955,1955-04-29,1955-05-02,,,,為空軍總部建築庫房已征民地因變更計劃不再需要發還業佃自耕案令希知照由,,#VALUE!,,,,,
AHTWH-238-009-02672,國史館臺灣文獻館典藏管理系統,AHTWH,,民航局建臺北國際機場儀器降落設備臺南多向導航臺徵收土地案,卷,,臺灣省政府地政處,1957-01-04~1959-09-05,1957,1957-01-04,1959-09-05,,,,民航局建臺北國際機場儀器降落設備臺南多向導航臺徵收土地案,,國際機場,,,,,
AHTWH-238-009-02672-001,國史館臺灣文獻館典藏管理系統,AHTWH,,關於交通部民用航空局興建台北國防機場儀器降落設備、台南多向導航台申請征收土地奉院令仰遵辦由。,件,,臺灣省政府地政處,1957-01-01~1957-01-31,1957,1957-01-01,1957-01-31,,,,關於交通部民用航空局興建台北國防機場儀器降落設備、台南多向導航台申請征收土地奉院令仰遵辦由。,,國防機場,,,,,
AHTWH-238-009-02672-002,國史館臺灣文獻館典藏管理系統,AHTWH,,交通部四十五年十二月二十一日交航四五字第一〇五四二號呈為民用航空局興建台北國際機場儀器降落設備「中定住台」等及台南多向導航台申請征收土地請核示一案。,件,,臺灣省政府地政處,1957-01-04~1957-01-14,1957,1957-01-04,1957-01-14,,,,交通部四十五年十二月二十一日交航四五字第一〇五四二號呈為民用航空局興建台北國際機場儀器降落設備「中定住台」等及台南多向導航台申請征收土地請核示一案。,,國際機場,,,,,
AHTWH-238-009-02672-003,國史館臺灣文獻館典藏管理系統,AHTWH,,為交通部民航局興建台北國際機場儀器降落設備征收土地一案呈請察核,件,,臺灣省政府地政處,1957-12-19~1957-12-31,1957,1957-12-19,1957-12-31,,,,為交通部民航局興建台北國際機場儀器降落設備征收土地一案呈請察核,,國際機場,,,,,
AHTWH-238-009-02672-004,國史館臺灣文獻館典藏管理系統,AHTWH,,為交通部民用航空局興建台北國際機場儀器降落設備征收土地報請核備由,件,,臺灣省政府地政處,1957-11-14~1957-11-21,1957,1957-11-14,1957-11-21,,,,為交通部民用航空局興建台北國際機場儀器降落設備征收土地報請核備由,,國際機場,,,,,
AHTWH-238-009-02672-005,國史館臺灣文獻館典藏管理系統,AHTWH,,關於民航局興辦中外軍民航儀器飛航所需之助航設備申請征收土地一案令希遵照由,件,,臺灣省政府地政處,1959-03-02~1959-03-31,1959,1959-03-02,1959-03-31,,,,關於民航局興辦中外軍民航儀器飛航所需之助航設備申請征收土地一案令希遵照由,,#VALUE!,,,,,
AHTWH-238-009-02672-006,國史館臺灣文獻館典藏管理系統,AHTWH,,關於民航局興辦中外軍民航儀器飛航所需之助航設備申請征收土地案令希知照由,件,,臺灣省政府地政處,1959-01-21~1959-01-24,1959,1959-01-21,1959-01-24,,,,關於民航局興辦中外軍民航儀器飛航所需之助航設備申請征收土地案令希知照由,,#VALUE!,,,,,
AHTWH-238-009-02672-007,國史館臺灣文獻館典藏管理系統,AHTWH,,據台北市政府呈為民航局以開闢道路申請撥用土地一案呈請核示由,件,,臺灣省政府地政處,1959-07-29~1959-07-31,1959,1959-07-29,1959-07-31,,,,據台北市政府呈為民航局以開闢道路申請撥用土地一案呈請核示由,,#VALUE!,,,,,
AHTWH-238-009-02672-008,國史館臺灣文獻館典藏管理系統,AHTWH,,為民航局上塔悠一七九地號國有耕地案報請鑒核,件,,臺灣省政府地政處,1959-04-15~1959-04-30,1959,1959-04-15,1959-04-30,,,,為民航局上塔悠一七九地號國有耕地案報請鑒核,,#VALUE!,,,,,
AHTWH-238-009-02672-009,國史館臺灣文獻館典藏管理系統,AHTWH,,關於交通部民用航空局興建台北國際機場儀器降落設備征收土地辦理補償經過情形請核備案奉准備查由,件,,臺灣省政府地政處,1957-12-27~1958-01-04,1957,1957-12-27,1958-01-04,,,,關於交通部民用航空局興建台北國際機場儀器降落設備征收土地辦理補償經過情形請核備案奉准備查由,,國際機場,,,,,
AHTWH-238-009-02672-010,國史館臺灣文獻館典藏管理系統,AHTWH,,為交通部民用航空局開闢道路申請撥用國有土地案令仰知照,件,,臺灣省政府地政處,1959-10-19~1959-10-31,1959,1959-10-19,1959-10-31,,,,為交通部民用航空局開闢道路申請撥用國有土地案令仰知照,,#VALUE!,,,,,
AHTWH-238-009-02672-011,國史館臺灣文獻館典藏管理系統,AHTWH,,據呈為交通部民用航空局開闢道路申請撥用國有土地案准予撥用由,件,,臺灣省政府地政處,1959-09-05~1959-09-10,1959,1959-09-05,1959-09-10,,,,據呈為交通部民用航空局開闢道路申請撥用國有土地案准予撥用由,,#VALUE!,,,,,
AHTWH-238-009-02703,國史館臺灣文獻館典藏管理系統,AHTWH,,空軍總部55軍臺南機場擴修工程徵撥公私土地案等案,卷,,臺灣省政府地政處,1955-06-29~1955-12-29,1955,1955-06-29,1955-12-29,,,,空軍總部55軍臺南機場擴修工程徵撥公私土地案等案,,臺南機場,,,,,
AHTWH-238-009-02703-001,國史館臺灣文獻館典藏管理系統,AHTWH,,為空軍總部五五軍台南機場擴修工程征撥公私土地一案希遵照由,件,,臺灣省政府地政處,1955-06-29~1955-07-04,1955,1955-06-29,1955-07-04,,,,為空軍總部五五軍台南機場擴修工程征撥公私土地一案希遵照由,,台南機場,,,,,
AHTWH-238-009-02703-002,國史館臺灣文獻館典藏管理系統,AHTWH,,為空軍總部奉令撤銷征收十五棟庫房用地乙案復希遵辦由,件,,臺灣省政府地政處,1955-08-11~1955-08-31,1955,1955-08-11,1955-08-31,,,,為空軍總部奉令撤銷征收十五棟庫房用地乙案復希遵辦由,,#VALUE!,,,,,
AHTWH-238-009-02703-003,國史館臺灣文獻館典藏管理系統,AHTWH,,為空軍總部奉令撤銷擴建十五庫房征用地前應補償地上物費用業已核發完畢報請鑒核示遵由,件,,臺灣省政府地政處,1955-01-01~1955-07-08,1955,1955-01-01,1955-07-08,,,,為空軍總部奉令撤銷擴建十五庫房征用地前應補償地上物費用業已核發完畢報請鑒核示遵由,,#VALUE!,,,,,
AHTWH-238-009-02703-004,國史館臺灣文獻館典藏管理系統,AHTWH,,呈為空軍總部奉令撤銷征收十五棟庫房用地乙案全案業已結束報請鑒核備查由,件,,臺灣省政府地政處,1955-08-29~1955-09-02,1955,1955-08-29,1955-09-02,,,,呈為空軍總部奉令撤銷征收十五棟庫房用地乙案全案業已結束報請鑒核備查由,,#VALUE!,,,,,
AHTWH-238-009-02703-005,國史館臺灣文獻館典藏管理系統,AHTWH,,為空軍總部建築桃園外信標台工程征收民地乙案經奉院令核准令仰遵照由。,件,,臺灣省政府地政處,1955-08-16~1955-08-31,1955,1955-08-16,1955-08-31,,,,為空軍總部建築桃園外信標台工程征收民地乙案經奉院令核准令仰遵照由。,,#VALUE!,,,,,
AHTWH-238-009-02703-006,國史館臺灣文獻館典藏管理系統,AHTWH,,關於空軍總部建築桃園外信標台工程申請征收民地並特許先行使用案,件,,臺灣省政府地政處,1955-07-28~1955-08-02,1955,1955-07-28,1955-08-02,,,,關於空軍總部建築桃園外信標台工程申請征收民地並特許先行使用案,,#VALUE!,,,,,
AHTWH-238-009-02703-007,國史館臺灣文獻館典藏管理系統,AHTWH,,為空軍總部擴建岡山機場使用民地乙案令仰遵照由。,件,,臺灣省政府地政處,1955-12-13~1955-12-31,1955,1955-12-13,1955-12-31,,,,為空軍總部擴建岡山機場使用民地乙案令仰遵照由。,,岡山機場,,,,,
AHTWH-238-009-02703-008,國史館臺灣文獻館典藏管理系統,AHTWH,,略,件,,臺灣省政府地政處,1955-11-14~1955-11-17,1955,1955-11-14,1955-11-17,,,,略,,#VALUE!,,,,,
AHTWH-238-009-02703-009,國史館臺灣文獻館典藏管理系統,AHTWH,,密不敘由,件,,臺灣省政府地政處,1955-09-17~1955-09-30,1955,1955-09-17,1955-09-30,,,,密不敘由,,#VALUE!,,,,,
AHTWH-238-009-02703-010,國史館臺灣文獻館典藏管理系統,AHTWH,,密,件,,臺灣省政府地政處,1955-08-25~1955-08-27,1955,1955-08-25,1955-08-27,,,,密,,#VALUE!,,,,,
AHTWH-238-009-02703-011,國史館臺灣文獻館典藏管理系統,AHTWH,,為空軍總部擴修台中機場征收土地地價及補償費爭執乙案復希知照由,件,,臺灣省政府地政處,1955-08-29~1955-08-31,1955,1955-08-29,1955-08-31,,,,為空軍總部擴修台中機場征收土地地價及補償費爭執乙案復希知照由,,台中機場,,,,,
AHTWH-238-009-02703-012,國史館臺灣文獻館典藏管理系統,AHTWH,,為國防部地價發放小組發放五五軍協台中機場擴建征用民地費款乙案部份未照臺中市政府公告估定價格核發致生糾紛報請鑒核示遵由,件,,臺灣省政府地政處,1955-07-01~1955-07-06,1955,1955-07-01,1955-07-06,,,,為國防部地價發放小組發放五五軍協台中機場擴建征用民地費款乙案部份未照臺中市政府公告估定價格核發致生糾紛報請鑒核示遵由,,台中機場,,,,,
AHTWH-238-009-02703-013,國史館臺灣文獻館典藏管理系統,AHTWH,,為空軍總部五五軍協擴修台中機場變更征收計劃一案頃奉院令核准轉仰遵辦由,件,,臺灣省政府地政處,1955-11-22~1955-11-30,1955,1955-11-22,1955-11-30,,,,為空軍總部五五軍協擴修台中機場變更征收計劃一案頃奉院令核准轉仰遵辦由,,台中機場,,,,,
AHTWH-238-009-02703-014,國史館臺灣文獻館典藏管理系統,AHTWH,,略,件,,臺灣省政府地政處,1955-10-24~1955-10-28,1955,1955-10-24,1955-10-28,,,,略,,#VALUE!,,,,,
AHTWH-238-009-02703-015,國史館臺灣文獻館典藏管理系統,AHTWH,,為空軍總部增建嘉義機場工程征撥土地關于撥用公地部份擬請仍照以前規定辦理乙案令仰知照呈請察核由。,件,,臺灣省政府地政處,1955-11-25~1955-11-30,1955,1955-11-25,1955-11-30,,,,為空軍總部增建嘉義機場工程征撥土地關于撥用公地部份擬請仍照以前規定辦理乙案令仰知照呈請察核由。,,嘉義機場,,,,,
AHTWH-238-009-02703-016,國史館臺灣文獻館典藏管理系統,AHTWH,,據呈為空軍總部增建嘉義機場工程征撥土地關於撥用公地部份擬請仍照以前規定辦理一案令復知照由,件,,臺灣省政府地政處,1955-10-28~1955-11-01,1955,1955-10-28,1955-11-01,,,,據呈為空軍總部增建嘉義機場工程征撥土地關於撥用公地部份擬請仍照以前規定辦理一案令復知照由,,嘉義機場,,,,,
AHTWH-238-009-02703-017,國史館臺灣文獻館典藏管理系統,AHTWH,,為空軍總部擴建五五軍協屏東南機場申請征收土地並特許先行使用及撥用公地轉予核示乙案令仰知照由。,件,,臺灣省政府地政處,1955-12-13~1955-12-31,1955,1955-12-13,1955-12-31,,,,為空軍總部擴建五五軍協屏東南機場申請征收土地並特許先行使用及撥用公地轉予核示乙案令仰知照由。,,東南機場,,,,,
AHTWH-238-009-02703-018,國史館臺灣文獻館典藏管理系統,AHTWH,,略,件,,臺灣省政府地政處,1955-11-11~1955-11-16,1955,1955-11-11,1955-11-16,,,,略,,#VALUE!,,,,,
AHTWH-238-009-02703-019,國史館臺灣文獻館典藏管理系統,AHTWH,,為空軍總部五五軍協台南擴建機場工程征撥公私土地清冊漏列五筆請准予補列乙案奉院令准予照案補列令仰知照。,件,,臺灣省政府地政處,1955-12-03~1955-12-31,1955,1955-12-03,1955-12-31,,,,為空軍總部五五軍協台南擴建機場工程征撥公私土地清冊漏列五筆請准予補列乙案奉院令准予照案補列令仰知照。,,擴建機場,,,,,
AHTWH-238-009-02703-020,國史館臺灣文獻館典藏管理系統,AHTWH,,略,件,,臺灣省政府地政處,1955-10-27~1955-10-31,1955,1955-10-27,1955-10-31,,,,略,,#VALUE!,,,,,
AHTWH-238-009-02703-021,國史館臺灣文獻館典藏管理系統,AHTWH,,為空軍總部申請征收松山油管工程用地乙案經奉院令核准令希遵照由,件,,臺灣省政府地政處,1956-01-09~1956-01-31,1956,1956-01-09,1956-01-31,,,,為空軍總部申請征收松山油管工程用地乙案經奉院令核准令希遵照由,,#VALUE!,,,,,
AHTWH-238-009-02703-022,國史館臺灣文獻館典藏管理系統,AHTWH,,略,件,,臺灣省政府地政處,1955-12-22~1955-12-26,1955,1955-12-22,1955-12-26,,,,略,,#VALUE!,,,,,
AHTWH-238-009-02703-023,國史館臺灣文獻館典藏管理系統,AHTWH,,為空軍總部修築新竹機場征收土地後一併征收殘餘部份案經奉院令核准令希遵照由,件,,臺灣省政府地政處,1956-01-07~1956-01-31,1956,1956-01-07,1956-01-31,,,,為空軍總部修築新竹機場征收土地後一併征收殘餘部份案經奉院令核准令希遵照由,,新竹機場,,,,,
AHTWH-238-009-02703-024,國史館臺灣文獻館典藏管理系統,AHTWH,,關於空軍總部修築新竹機場徵收土地後一併徵收殘餘部份案令希遵照由,件,,臺灣省政府地政處,1955-12-22~1955-12-28,1955,1955-12-22,1955-12-28,,,,關於空軍總部修築新竹機場徵收土地後一併徵收殘餘部份案令希遵照由,,新竹機場,,,,,
AHTWH-238-009-02714,國史館臺灣文獻館典藏管理系統,AHTWH,,空軍總部遷建松山機場徵收土地案等案,卷,,臺灣省政府地政處,1958-06-27~1960-05-13,1958,1958-06-27,1960-05-13,,,,空軍總部遷建松山機場徵收土地案等案,,松山機場,,,,,
AHTWH-238-009-02714-001,國史館臺灣文獻館典藏管理系統,AHTWH,,為空軍總部遷建松山機場工程申請征收土地並特許先行使用乙案令希遵照由。,件,,臺灣省政府地政處,1958-07-21~1958-07-31,1958,1958-07-21,1958-07-31,,,,為空軍總部遷建松山機場工程申請征收土地並特許先行使用乙案令希遵照由。,,松山機場,,,,,
AHTWH-238-009-02716,國史館臺灣文獻館典藏管理系統,AHTWH,,空軍總部整修馬公機場徵收土地案,卷,,臺灣省政府地政處,1957-11-30~1959-05-20,1957,1957-11-30,1959-05-20,,,,空軍總部整修馬公機場徵收土地案,,馬公機場,,,,,
AHTWH-238-009-02716-001,國史館臺灣文獻館典藏管理系統,AHTWH,,為空軍總部整修馬公機場征收土地案令仰遵照辦理由,件,,臺灣省政府地政處,1957-12-26~1957-12-31,1957,1957-12-26,1957-12-31,,,,為空軍總部整修馬公機場征收土地案令仰遵照辦理由,,馬公機場,,,,,
AHTWH-238-009-02716-002,國史館臺灣文獻館典藏管理系統,AHTWH,,關於空軍總部整修馬公機場申請征收土地案令希知照由,件,,臺灣省政府地政處,1957-11-30~1957-12-05,1957,1957-11-30,1957-12-05,,,,關於空軍總部整修馬公機場申請征收土地案令希知照由,,馬公機場,,,,,
AHTWH-238-009-02716-003,國史館臺灣文獻館典藏管理系統,AHTWH,,為空軍總部整修馬公機場申請更正征收土地乙案經院令核准令仰知照由,件,,臺灣省政府地政處,1958-09-17~1958-09-30,1958,1958-09-17,1958-09-30,,,,為空軍總部整修馬公機場申請更正征收土地乙案經院令核准令仰知照由,,馬公機場,,,,,
AHTWH-238-009-02716-004,國史館臺灣文獻館典藏管理系統,AHTWH,,關於空軍總部整修馬公機場申請更正征收土地案令希知照由,件,,臺灣省政府地政處,1958-08-09~1958-08-14,1958,1958-08-09,1958-08-14,,,,關於空軍總部整修馬公機場申請更正征收土地案令希知照由,,馬公機場,,,,,
AHTWH-238-009-02716-005,國史館臺灣文獻館典藏管理系統,AHTWH,,為空軍總司令部整修馬公機場征收土地乙案函請查照惠予轉呈行政院准予更正由。,件,,臺灣省政府地政處,1958-05-21~1958-05-26,1958,1958-05-21,1958-05-26,,,,為空軍總司令部整修馬公機場征收土地乙案函請查照惠予轉呈行政院准予更正由。,,馬公機場,,,,,
AHTWH-238-009-02716-006,國史館臺灣文獻館典藏管理系統,AHTWH,,為空軍總部擴建馬公機場工程申請征收土地一案令仰遵照由,件,,臺灣省政府地政處,1959-01-28~1959-01-31,1959,1959-01-28,1959-01-31,,,,為空軍總部擴建馬公機場工程申請征收土地一案令仰遵照由,,馬公機場,,,,,
